species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Stegastes planifrons,cbf,Pomacentridae,Actinopterygii,tropical,Algal farmer,13,normal,FALSE,FALSE
Thalassoma bifasciatum,cbf,Labridae,Actinopterygii,tropical,Benthic invertivore,25,lognormal,FALSE,FALSE
Trimma lantana,cbf,Gobiidae,Actinopterygii,tropical,Benthic invertivore,2.9,lognormal,FALSE,FALSE
Ucla xenogrammus,cbf,Tripterygiidae,Actinopterygii,tropical,Benthic invertivore,4.71999979,normal,FALSE,FALSE
Apogon flavus,rls,Apogonidae,Actinopterygii,tropical,Benthic invertivore,10,normal,FALSE,FALSE
Apogon limenus,rls,Apogonidae,Actinopterygii,temperate,Benthic invertivore,14,normal,FALSE,FALSE
Cheilodactylus ephippium,rls,Cheilodactylidae,Actinopterygii,temperate,benthic invertivore,35,normal,FALSE,FALSE
Cheilodactylus fuscus,rls,Cheilodactylidae,Actinopterygii,temperate,benthic invertivore,65,normal,FALSE,TRUE
Cheilodactylus gibbosus,rls,Cheilodactylidae,Actinopterygii,temperate,benthic invertivore,30,normal,FALSE,FALSE
Cheilodactylus rubrolabiatus,rls,Cheilodactylidae,Actinopterygii,temperate,benthic invertivore,40,normal,FALSE,FALSE
Cheilodactylus spectabilis,rls,Cheilodactylidae,Actinopterygii,temperate,benthic invertivore,100,normal,FALSE,TRUE
Cheilodactylus vestitus,rls,Cheilodactylidae,Actinopterygii,temperate,benthic invertivore,35,normal,FALSE,TRUE
Chromis agilis,rls,Pomacentridae,Actinopterygii,tropical,planktivore,8,normal,FALSE,FALSE
Chromis amboinensis,rls,Pomacentridae,Actinopterygii,tropical,planktivore,10,normal,FALSE,FALSE
Chromis iomelas,rls,Pomacentridae,Actinopterygii,tropical,planktivore,8.5,normal,FALSE,FALSE
Chromis lepidolepis,rls,Pomacentridae,Actinopterygii,tropical,planktivore,8,normal,FALSE,FALSE
Chrysophrys auratus,rls,Sparidae,Actinopterygii,temperate,higher carnivore,130,lognormal,FALSE,TRUE
Kyphosus gladius,rls,Kyphosidae,Actinopterygii,temperate,Browsing herbivore,52,normal,FALSE,FALSE
Plectroglyphidodon lacrymatus,rls,Pomacentridae,Actinopterygii,tropical,algal farmer,10,normal,FALSE,FALSE
Pomacentrus magniseptus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,8,normal,FALSE,FALSE
Acyrtus lanthanum,cbf,Gobiesocidae,Actinopterygii,tropical,NA,2.4,normal,FALSE,FALSE
Antennablennius adenensis,cbf,Blenniidae,Actinopterygii,tropical,NA,5,normal,FALSE,FALSE
Apogon coccineus,cbf,Apogonidae,Actinopterygii,tropical,NA,6,normal,FALSE,FALSE
Apogon phenax,cbf,Apogonidae,Actinopterygii,tropical,NA,7.5,normal,FALSE,FALSE
Apogon susanae,cbf,Apogonidae,Actinopterygii,tropical,NA,4,normal,FALSE,FALSE
Cabillus tongarevae,cbf,Gobiidae,Actinopterygii,tropical,NA,3,normal,FALSE,FALSE
Cheilodipterus novemstriatus,cbf,Apogonidae,Actinopterygii,tropical,NA,8,normal,FALSE,FALSE
Chromis acares,cbf,Pomacentridae,Actinopterygii,tropical,NA,4,normal,FALSE,FALSE
Chromis iomelas,cbf,Pomacentridae,Actinopterygii,tropical,NA,8,normal,FALSE,FALSE
Chromis vanderbilti,cbf,Pomacentridae,Actinopterygii,tropical,NA,6,normal,FALSE,FALSE
Coryogalops anomalus,cbf,Gobiidae,Actinopterygii,tropical,NA,5.8,normal,FALSE,FALSE
Ecsenius pulcher,cbf,Blenniidae,Actinopterygii,tropical,NA,11,lognormal,FALSE,FALSE
Enchelyurus ater,cbf,Blenniidae,Actinopterygii,tropical,NA,5.5,normal,FALSE,FALSE
