population,binned,cont,mean_size,data,species
Halichoeres trimaculatus__Moorea,0.5543629105028836,0.5332126129729124,2.86,cbf,Halichoeres trimaculatus
Helcogramma vulcanum__Lizard,0.10609722723481224,0.10421395331789901,3,cbf,Helcogramma vulcanum
Hetereleotris vulgaris__GoO,0.19126200321759781,0.18500644743728026,2.305679012345679,cbf,Hetereleotris vulgaris
Hypleurochilus pseudoaequipinnis__Belize,0.30062031112498433,0.3331739396963992,2.7466666666666666,cbf,Hypleurochilus pseudoaequipinnis
Hypleurochilus pseudoaequipinnis__Panama,0.24820811447464952,0.25736128389389823,2.2378378378378376,cbf,Hypleurochilus pseudoaequipinnis
Istigobius decoratus__GoO,0.18808944539991304,0.19182133223670592,4.793333333333333,cbf,Istigobius decoratus
Lythrypnus nesiotes__Belize,0.35783825398295466,0.11910358961565215,1.309090909090909,cbf,Lythrypnus nesiotes
Lythrypnus spilus__Belize,0.35180322743108206,0.2822303721005497,1.525925925925926,cbf,Lythrypnus spilus
Lythrypnus spilus__Panama,0.25948730343526916,0.20946908577819218,1.809090909090909,cbf,Lythrypnus spilus
Nectamia savayensis__Moorea,0.38363512092030305,0.37650237040853385,3.604761904761905,cbf,Nectamia savayensis
Neocirrhites armatus__Moorea,0.26305409398197566,0.2246429000401003,5.085714285714285,cbf,Neocirrhites armatus
Neopomacentrus azysron__Lizard,0.17832885365470086,0.1703156976798151,4.287878787878788,cbf,Neopomacentrus azysron
Neopomacentrus cyanomos__GoO,0.3714031634498203,0.34981557044362566,4.239473684210527,cbf,Neopomacentrus cyanomos
Neopomacentrus miryae__GoO,0.29952018473633973,0.31608898232049565,3.863157894736842,cbf,Neopomacentrus miryae
Ostorhinchus angustatus__Moorea,0.441944877319122,0.42566826423169674,4.215625,cbf,Ostorhinchus angustatus
Ostorhinchus cyanosoma__GoO,0.32674726661785414,0.2735934177454057,4.96,cbf,Ostorhinchus cyanosoma
Ostorhinchus fleurieu__GoO,0.09090265611249994,0.07800166171282233,4.443333333333333,cbf,Ostorhinchus fleurieu
Ostorhinchus nigrofasciatus__Moorea,0.44803700565416804,0.42780409648246887,3.2375,cbf,Ostorhinchus nigrofasciatus
Parablennius marmoreus__Panama,0.4310792620566095,0.41304157385538054,3.164705882352941,cbf,Parablennius marmoreus
Paracirrhites arcatus__Moorea,0.37593784864078983,0.36296287302611363,5.576470588235294,cbf,Paracirrhites arcatus
Paragobiodon modestus__Moorea,0.47831191835383413,0.39700924974954277,1.709090909090909,cbf,Paragobiodon modestus
Phaeoptyx conklini__Panama,0.08917171698205584,0.05596808927510638,3.783333333333333,cbf,Phaeoptyx conklini
Phaeoptyx pigmentaria__Panama,0.23518194070764398,0.2227920664636034,3.1719298245614036,cbf,Phaeoptyx pigmentaria
Phaeoptyx xenus__Panama,0.16545171578598816,0.17167576801706624,3.6705882352941175,cbf,Phaeoptyx xenus
Plectranthias nanus__Moorea,0.2574847229121858,0.26497919646386914,2.628125,cbf,Plectranthias nanus
