population,size_class,n,n_sizebins,population_n,size_min,size_max,n_transects,p_obs,species,fished,lat,lon,pop_label,is_bimodal,pop_id,data,"str_replace_all(pop_label, ""cflatifasciata"", ""latifasciata"")"
Eviota albolineata__Moorea,2.3,21,NA,181,2.25,2.3499999999999996,NA,0.1160220994475138,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Eviota albolineata__Moorea,2.4,6,NA,181,2.35,2.4499999999999997,NA,0.03314917127071823,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Eviota albolineata__Moorea,2.5,8,NA,181,2.45,2.55,NA,0.04419889502762431,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Eviota albolineata__Moorea,2.6,6,NA,181,2.5500000000000003,2.65,NA,0.03314917127071823,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Eviota albolineata__Moorea,2.7,3,NA,181,2.6500000000000004,2.75,NA,0.01657458563535911,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Eviota albolineata__Moorea,2.8,2,NA,181,2.75,2.8499999999999996,NA,0.01104972375690607,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Eviota albolineata__Moorea,2.9,1,NA,181,2.85,2.9499999999999997,NA,0.00552486187845303,Eviota albolineata,FALSE,NA,NA,Eviota albolineata (Moorea),TRUE,2,cbf,Eviota albolineata (Moorea)
Trimma capostriatum__Lizard,1.1,4,NA,82,1.05,1.15,NA,0.04878048780487805,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.2,16,NA,82,1.15,1.25,NA,0.1951219512195122,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.3,5,NA,82,1.25,1.35,NA,0.06097560975609756,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.4,3,NA,82,1.35,1.45,NA,0.03658536585365853,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.5,1,NA,82,1.45,1.55,NA,0.01219512195121951,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.6,5,NA,82,1.55,1.65,NA,0.06097560975609756,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.7,4,NA,82,1.65,1.75,NA,0.04878048780487805,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.8,6,NA,82,1.75,1.85,NA,0.07317073170731707,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,1.9,8,NA,82,1.85,1.95,NA,0.0975609756097561,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2,9,NA,82,1.95,2.05,NA,0.1097560975609756,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.1,5,NA,82,2.0500000000000003,2.15,NA,0.06097560975609756,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.2,3,NA,82,2.1500000000000004,2.25,NA,0.03658536585365853,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.3,3,NA,82,2.25,2.3499999999999996,NA,0.03658536585365853,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.5,4,NA,82,2.45,2.55,NA,0.04878048780487805,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.7,2,NA,82,2.6500000000000004,2.75,NA,0.02439024390243902,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.8,2,NA,82,2.75,2.8499999999999996,NA,0.02439024390243902,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,2.9,1,NA,82,2.85,2.9499999999999997,NA,0.01219512195121951,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
Trimma capostriatum__Lizard,3.1,1,NA,82,3.0500000000000003,3.15,NA,0.01219512195121951,Trimma capostriatum,FALSE,NA,NA,Trimma capostriatum (Lizard),TRUE,3,cbf,Trimma capostriatum (Lizard)
