species,mean_size,size_min,size_class,size_max,p_obs,pref,ll_ratio,mu,sd,sdlog,meanlog,name,value,alp,lty
Enoplosus armatus,14.699340836733777,1.25,2.5,3.75,7.174566162952334e-4,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.010670375033267393,0.8,73
Enoplosus armatus,14.699340836733777,1.25,2.5,3.75,7.174566162952334e-4,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,3.672311439062802e-5,1,solid
Enoplosus armatus,14.699340836733777,3.75,5,6.25,0.0124882292273889,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.031223094064581344,0.8,73
Enoplosus armatus,14.699340836733777,3.75,5,6.25,0.0124882292273889,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.007715684418112967,1,solid
Enoplosus armatus,14.699340836733777,6.25,7.5,8.75,0.07392045199766827,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.07149037890001482,0.8,73
Enoplosus armatus,14.699340836733777,6.25,7.5,8.75,0.07392045199766827,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.0725482270494494,1,solid
Enoplosus armatus,14.699340836733777,8.75,10,11.25,0.16420788305457154,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.12809695549251238,0.8,73
Enoplosus armatus,14.699340836733777,8.75,10,11.25,0.16420788305457154,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.1797435579738049,1,solid
Enoplosus armatus,14.699340836733777,11.25,12.5,13.75,0.2365140576655755,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.17963109539241526,0.8,73
Enoplosus armatus,14.699340836733777,11.25,12.5,13.75,0.2365140576655755,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.22540314334494943,1,solid
Enoplosus armatus,14.699340836733777,13.75,15,17.5,0.24377830590556476,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.2877171284980357,0.8,73
Enoplosus armatus,14.699340836733777,13.75,15,17.5,0.24377830590556476,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.2702916255444632,1,solid
Enoplosus armatus,14.699340836733777,17.5,20,22.5,0.19082103941527287,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.2283273682278295,0.8,73
Enoplosus armatus,14.699340836733777,17.5,20,22.5,0.19082103941527287,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.17108033975147852,1,solid
Enoplosus armatus,14.699340836733777,22.5,25,27.5,0.0655127572754585,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.054067894558321505,0.8,73
Enoplosus armatus,14.699340836733777,22.5,25,27.5,0.0655127572754585,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.05344446844981532,1,solid
Enoplosus armatus,14.699340836733777,27.5,30,32.5,0.01026859782072552,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,0.005030277033939101,0.8,73
Enoplosus armatus,14.699340836733777,27.5,30,32.5,0.01026859782072552,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.014567192124191886,1,solid
Enoplosus armatus,14.699340836733777,32.5,35,37.5,0.00161427738666427,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,1.816878007172562e-4,0.8,73
Enoplosus armatus,14.699340836733777,32.5,35,37.5,0.00161427738666427,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.0038056650408091475,1,solid
Enoplosus armatus,14.699340836733777,37.5,40,45,1.1210259629613022e-4,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,2.5308189491868305e-6,0.8,73
Enoplosus armatus,14.699340836733777,37.5,40,45,1.1210259629613022e-4,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,0.001169449678985468,1,solid
Enoplosus armatus,14.699340836733777,45,50,56.25,4.4841038518452086e-5,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_norm,6.687403963923089e-10,0.8,73
Enoplosus armatus,14.699340836733777,45,50,56.25,4.4841038518452086e-5,lnorm_pref,-7.872079660879493,14.699340836733777,4.997775884489484,0.33074518404838,2.633106463355184,p_lnorm,1.818638777204562e-4,1,solid
Meiacanthus phaeus,6.130705394190872,1.25,2.5,3.75,0.04149377593360996,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_norm,0.11709623988643134,0.8,73
