species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Naso hexacanthus,2.5,0.01828745691769932,1.25,3.75,0.0590798050783122,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,5,0.01871090020378208,3.75,6.25,0.0578562431346936,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,7.5,0.01916284448027426,6.25,8.75,0.05660511393757925,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,10,0.03981791938698442,8.75,11.25,0.1093433904328907,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,12.5,0.02073345263033605,11.25,13.75,0.05267465975647512,0.00327868852459016,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,15,0.04335814955283981,13.75,17.5,0.10117500116630689,0.00491803278688524,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,20,0.04629375156500975,17.5,22.5,0.09533180370419064,0.02295081967213114,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,25,0.0764732467310382,22.5,27.5,0.1311596907378269,0.04918032786885246,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,30,0.05726561498012057,27.5,32.5,0.07878615021184374,0.09016393442622953,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,35,0.10059119197249249,32.5,37.5,0.103324186659994,0.1278688524590164,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,40,0.20169540177235443,37.5,45,0.10189811143107974,0.3295081967213115,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,50,0.29563670194682123,45,56.25,0.04952881202101897,0.3663934426229508,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,62.5,0.06197336786024744,56.25,68.75,0.00323703172778821,0.00573770491803278,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,75,0,68.75,81.25,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,87.5,0,81.25,93.75,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,100,0,93.75,106.25,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,112.5,0,106.25,118.75,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,125,0,118.75,131.25,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,137.5,0,131.25,143.75,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,150,0,143.75,156.25,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,162.5,0,156.25,168.75,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,175,0,168.75,181.25,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,187.5,0,181.25,193.75,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,200,0,193.75,225,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,250,0,225,275,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,300,0,275,325,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,350,0,325,375,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Naso hexacanthus,400,0,375,450,0,0,52.7,0.226,0.454365226,0.102686541,540,40.842213114754095
Acanthurus lineatus,2.5,0.05635164029953982,1.25,3.75,0.17258957128607078,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,5,0.06070808553287495,3.75,6.25,0.16118039211509994,3.527959075674722e-4,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,7.5,0.06621207192240516,6.25,8.75,0.1488813868980214,0.00423355089080966,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,10,0.15728893928243937,8.75,11.25,0.25587350270793474,0.03210442758863997,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,12.5,0.10049617995129792,11.25,13.75,0.10308492750639268,0.08043746692538367,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,15,0.32524790573738993,13.75,17.5,0.13253556641805966,0.13847239372023284,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,20,0.2256644947607903,17.5,22.5,0.02568426084682567,0.2922914094196507,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,25,0.00803068251326252,22.5,27.5,1.703922215950842e-4,0.3321573469747751,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,30,0,27.5,32.5,0,0.08325983418592345,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,35,0,32.5,37.5,0,0.03086964191215381,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,40,0,37.5,45,0,0.00582113247486329,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,50,0,45,56.25,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,62.5,0,56.25,68.75,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,75,0,68.75,81.25,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,87.5,0,81.25,93.75,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,100,0,93.75,106.25,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,112.5,0,106.25,118.75,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,125,0,118.75,131.25,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,137.5,0,131.25,143.75,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,150,0,143.75,156.25,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,162.5,0,156.25,168.75,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,175,0,168.75,181.25,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,187.5,0,181.25,193.75,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,200,0,193.75,225,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,250,0,225,275,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,300,0,275,325,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,350,0,325,375,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Acanthurus lineatus,400,0,375,450,0,0,19,0.539,0.458266055,0.247005403,230,21.39795378373611
Lutjanus gibbus,2.5,0.03816899188145346,1.25,3.75,0.09630260028565868,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,5,0.03933159927484827,3.75,6.25,0.09296001987955715,5.119672340970178e-4,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,7.5,0.04062488332441413,6.25,8.75,0.0894909931751985,5.119672340970178e-4,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,10,0.0857954474742069,8.75,11.25,0.16798555653413996,0.00627159861768846,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,12.5,0.04560822723633392,11.25,13.75,0.07814711092199143,0.02726225521566619,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
