scaled_size,scaled_n,size_class,dist,size_min,size_max,file,col,lty,lwd
0.2638647914923149,0.22038320228820352,2.5,normal,1.25,3.75,normal,#B59013,solid,2
0.5277295829846298,0.5527192363080777,5,normal,3.75,6.25,normal,#B59013,solid,2
0.7915943744769448,0.9164342959266308,7.5,normal,6.25,8.75,normal,#B59013,solid,2
1.0554591659692596,1,10,normal,8.75,11.25,normal,#B59013,solid,2
1.3193239574615747,0.7332064768606613,12.5,normal,11.25,13.75,normal,#B59013,solid,2
1.5831887489538896,0.2874110242795842,15,normal,13.75,17.5,normal,#B59013,solid,2
2.110918331938519,0.03204123234281565,20,normal,17.5,22.5,normal,#B59013,solid,2
2.6386479149231494,6.263039688523478e-4,25,normal,22.5,27.5,normal,#B59013,solid,2
0.2632590416317849,0.02303472802558576,2.5,lognormal,1.25,3.75,lognormal,#1D5480,solid,2
0.5265180832635697,0.4771883305791355,5,lognormal,3.75,6.25,lognormal,#1D5480,solid,2
0.7897771248953546,1,7.5,lognormal,6.25,8.75,lognormal,#1D5480,solid,2
1.0530361665271395,0.8295486676175456,10,lognormal,8.75,11.25,lognormal,#1D5480,solid,2
1.3162952081589243,0.45644702201054344,12.5,lognormal,11.25,13.75,lognormal,#1D5480,solid,2
1.5795542497907091,0.1746224235683931,15,lognormal,13.75,17.5,lognormal,#1D5480,solid,2
2.106072333054279,0.03924260607850406,20,lognormal,17.5,22.5,lognormal,#1D5480,solid,2
2.6325904163178486,0.00626763262561969,25,lognormal,22.5,27.5,lognormal,#1D5480,solid,2
3.1591084995814183,0.00102889708515812,30,lognormal,27.5,32.5,lognormal,#1D5480,solid,2
3.685626582844988,1.7122104165226735e-4,35,lognormal,32.5,37.5,lognormal,#1D5480,solid,2
4.212144666108558,2.9322257897636e-5,40,lognormal,37.5,45,lognormal,#1D5480,solid,2
5.265180832635697,2.0944469926882854e-6,50,lognormal,45,56.25,lognormal,#1D5480,solid,2
0.5693513627510078,0.0053763439328246,NA,giometto,NA,NA,0,black,dashed,0.5
0.695873887960723,0.05107526907151116,NA,giometto,NA,NA,0,black,dashed,0.5
0.7591351505655808,0.1666666664767025,NA,giometto,NA,NA,0,black,dashed,0.5
0.7591351505655808,0.28763440895450343,NA,giometto,NA,NA,0,black,dashed,0.5
0.7907657818680095,0.39516128989056537,NA,giometto,NA,NA,0,black,dashed,0.5
0.8540270444728671,0.48924731156445833,NA,giometto,NA,NA,0,black,dashed,0.5
0.8540270444728671,0.66666666590681,NA,giometto,NA,NA,0,black,dashed,0.5
0.8856576757752959,0.787634408384611,NA,giometto,NA,NA,0,black,dashed,0.5
0.9172883067313694,0.8978494618569778,NA,giometto,NA,NA,0,black,dashed,0.5
0.9489189380337982,0.946236558392184,NA,giometto,NA,NA,0,black,dashed,0.5
0.980549569336227,1,NA,giometto,NA,NA,0,black,dashed,0.5
1.0121802006386558,0.922043010124581,NA,giometto,NA,NA,0,black,dashed,0.5
1.0121802006386558,0.827956988450688,NA,giometto,NA,NA,0,black,dashed,0.5
1.0754414632435134,0.7258064514474506,NA,giometto,NA,NA,0,black,dashed,0.5
1.0754414632435134,0.6236559133044283,NA,giometto,NA,NA,0,black,dashed,0.5
1.138702725848371,0.5537634410379234,NA,giometto,NA,NA,0,black,dashed,0.5
